TIMESERIESID,STATION,SOURCE_TIMESERIES,PARAMETER,TIMESTAMP,VALUE,CODE,REVISION_DATE,QUALITY_CODE
12515,L005,L005+R,RAIN,3/12/2025,0,NA,3/20/2025 7:02,A
12515,L005,L005+R,RAIN,3/13/2025,0,NA,3/20/2025 7:02,A
12515,L005,L005+R,RAIN,3/14/2025,0,NA,3/20/2025 7:02,A
12515,L005,L005+R,RAIN,3/15/2025,0,NA,3/20/2025 7:02,A
12515,L005,L005+R,RAIN,3/16/2025,0,NA,3/20/2025 7:02,A
12515,L005,L005+R,RAIN,3/17/2025,0.76,NA,3/20/2025 7:02,A
12515,L005,L005+R,RAIN,3/18/2025,0,NA,3/20/2025 7:02,A
12515,L005,L005+R,RAIN,3/19/2025,0,NA,3/28/2025 15:06,A
12515,L005,L005+R,RAIN,3/20/2025,0,NA,3/28/2025 15:06,A
12515,L005,L005+R,RAIN,3/21/2025,0,NA,3/28/2025 15:06,A
12515,L005,L005+R,RAIN,3/22/2025,0,NA,3/28/2025 15:06,A
12515,L005,L005+R,RAIN,3/23/2025,0,NA,3/28/2025 15:06,A
12515,L005,L005+R,RAIN,3/24/2025,0,NA,3/28/2025 15:06,A
12515,L005,L005+R,RAIN,3/25/2025,0,NA,3/28/2025 15:06,A
12515,L005,L005+R,RAIN,3/26/2025,0,NA,3/28/2025 15:06,A
12515,L005,L005+R,RAIN,3/27/2025,0,NA,4/7/2025 9:13,A
12515,L005,L005+R,RAIN,3/28/2025,0,NA,4/7/2025 9:13,A
12515,L005,L005+R,RAIN,3/29/2025,0.1,NA,4/7/2025 9:13,A
12515,L005,L005+R,RAIN,3/30/2025,0.16,NA,4/7/2025 9:13,A
12515,L005,L005+R,RAIN,3/31/2025,0,NA,4/7/2025 9:13,A
12515,L005,L005+R,RAIN,4/1/2025,0,NA,4/7/2025 9:13,A
12515,L005,L005+R,RAIN,4/2/2025,0,NA,4/7/2025 9:13,A
12515,L005,L005+R,RAIN,4/3/2025,0,NA,4/7/2025 9:13,A
12515,L005,L005+R,RAIN,4/4/2025,0,NA,4/7/2025 9:13,A
12515,L005,L005+R,RAIN,4/5/2025,0,NA,4/7/2025 9:13,A
12515,L005,L005+R,RAIN,4/6/2025,0,NA,4/7/2025 9:13,A
12515,L005,L005+R,RAIN,4/7/2025,0,NA,4/18/2025 8:27,A
12515,L005,L005+R,RAIN,4/8/2025,0,NA,4/18/2025 8:27,A
12515,L005,L005+R,RAIN,4/9/2025,0,NA,4/18/2025 8:27,A
12515,L005,L005+R,RAIN,4/10/2025,0,NA,4/18/2025 8:27,A
12515,L005,L005+R,RAIN,4/11/2025,0,NA,4/18/2025 8:27,A
12515,L005,L005+R,RAIN,4/12/2025,0,NA,4/18/2025 8:27,A
12515,L005,L005+R,RAIN,4/13/2025,0,NA,4/18/2025 8:27,A
12515,L005,L005+R,RAIN,4/14/2025,0,NA,4/18/2025 8:27,A
12515,L005,L005+R,RAIN,4/15/2025,0,NA,4/18/2025 8:27,A
12515,L005,L005+R,RAIN,4/16/2025,0,NA,4/18/2025 8:27,A
12515,L005,L005+R,RAIN,4/17/2025,0,NA,4/28/2025 10:30,A
12515,L005,L005+R,RAIN,4/18/2025,0,NA,4/28/2025 10:30,A
12515,L005,L005+R,RAIN,4/19/2025,0,NA,4/28/2025 10:30,A
12515,L005,L005+R,RAIN,4/20/2025,0,NA,4/28/2025 10:30,A
12515,L005,L005+R,RAIN,4/21/2025,0,NA,4/28/2025 10:30,A
12515,L005,L005+R,RAIN,4/22/2025,0,NA,4/28/2025 10:30,A
12515,L005,L005+R,RAIN,4/23/2025,0,NA,4/28/2025 10:30,A
12515,L005,L005+R,RAIN,4/24/2025,0,NA,4/28/2025 10:30,A
12515,L005,L005+R,RAIN,4/25/2025,0,NA,4/28/2025 10:30,A
12515,L005,L005+R,RAIN,4/26/2025,0,NA,4/28/2025 10:30,A
12515,L005,L005+R,RAIN,4/27/2025,0,NA,4/28/2025 10:30,A
12515,L005,L005+R,RAIN,4/28/2025,0,NA,5/8/2025 8:15,A
12515,L005,L005+R,RAIN,4/29/2025,0,NA,5/8/2025 8:15,A
12515,L005,L005+R,RAIN,4/30/2025,0,NA,5/8/2025 8:15,A
12515,L005,L005+R,RAIN,5/1/2025,0,NA,5/8/2025 8:15,A
12515,L005,L005+R,RAIN,5/2/2025,0,NA,5/8/2025 8:15,A
12515,L005,L005+R,RAIN,5/3/2025,0,NA,5/8/2025 8:15,A
12515,L005,L005+R,RAIN,5/4/2025,0.01,NA,5/8/2025 8:15,A
12515,L005,L005+R,RAIN,5/5/2025,0,NA,5/8/2025 8:15,A
12515,L005,L005+R,RAIN,5/6/2025,0.02,NA,5/8/2025 8:15,A
12515,L005,L005+R,RAIN,5/7/2025,0,NA,5/19/2025 9:12,A
12515,L005,L005+R,RAIN,5/8/2025,0,NA,5/19/2025 9:12,A
12515,L005,L005+R,RAIN,5/9/2025,0,NA,5/19/2025 9:12,A
12515,L005,L005+R,RAIN,5/10/2025,0.12,NA,5/19/2025 9:12,A
12515,L005,L005+R,RAIN,5/11/2025,0.28,NA,5/19/2025 9:12,A
12515,L005,L005+R,RAIN,5/12/2025,1.02,NA,5/19/2025 9:12,A
12515,L005,L005+R,RAIN,5/13/2025,0,NA,5/19/2025 9:12,A
12515,L005,L005+R,RAIN,5/14/2025,0,NA,5/19/2025 9:12,A
12515,L005,L005+R,RAIN,5/15/2025,0,PT,5/28/2025 9:20,A
12515,L005,L005+R,RAIN,5/16/2025,0,PT,5/28/2025 9:20,A
12515,L005,L005+R,RAIN,5/17/2025,0,NA,5/28/2025 9:20,A
12515,L005,L005+R,RAIN,5/18/2025,0,NA,5/28/2025 9:20,A
12515,L005,L005+R,RAIN,5/19/2025,0,NA,5/28/2025 9:20,A
12515,L005,L005+R,RAIN,5/20/2025,0,NA,5/28/2025 9:20,A
12515,L005,L005+R,RAIN,5/21/2025,0,NA,6/2/2025 9:46,A
12515,L005,L005+R,RAIN,5/22/2025,0.01,NA,6/2/2025 9:46,A
12515,L005,L005+R,RAIN,5/23/2025,0.24,NA,6/2/2025 9:46,A
12515,L005,L005+R,RAIN,5/24/2025,0.79,NA,6/2/2025 9:46,A
12515,L005,L005+R,RAIN,5/25/2025,0.01,NA,6/2/2025 9:46,A
12515,L005,L005+R,RAIN,5/26/2025,0.21,NA,6/2/2025 9:46,A
12515,L005,L005+R,RAIN,5/27/2025,0,NA,6/2/2025 9:46,A
12515,L005,L005+R,RAIN,5/28/2025,0,NA,6/2/2025 9:46,A
