Report Year,Colony Name,Colony Type,Species,Number
2022,Moore Haven East 1,Marsh Island,Great Egret,206
2022,Moore Haven NW,Marsh Island,Glossy Ibis,2
2022,Moore Haven NW,Marsh Island,Great Blue Heron,2
2022,Moore Haven NW,Marsh Island,Anhinga,4
2022,Moore Haven NW,Marsh Island,Roseate Spoonbill,5
2022,Moore Haven NW,Marsh Island,Tricolored Heron,8
2022,Moore Haven NW,Marsh Island,Cattle Egret,76
2022,Moore Haven NW,Marsh Island,Snowy Egret,103
2022,Moore Haven NW,Marsh Island,Great Egret,115
2022,Moore Haven NW,Marsh Island,White Ibis,442
2022,Pahokee Airport,Spoil Island,Tricolored Heron,1
2022,Pahokee Airport,Spoil Island,White Ibis,4
2022,Pahokee Airport,Spoil Island,Cattle Egret,5
2022,Pahokee Airport,Spoil Island,Great Egret,20
2022,Pahokee Airport,Spoil Island,Snowy Egret,41
2021,Clewiston Marsh,Marsh Island,Snowy Egret,45
2021,Clewiston Marsh,Marsh Island,Cattle Egret,120
2021,Clewiston Marsh,Marsh Island,White Ibis,205
2021,Clewiston Spit,Spoil Island,Roseate Spoonbill,2
2021,Clewiston Spit,Spoil Island,Tricolored Heron,67
2021,Clewiston Spit,Spoil Island,Great Egret,148
2021,Clewiston Spit,Spoil Island,Snowy Egret,202
2021,Eagle Bay Island,Marsh Island,Great Egret,3
2021,Eagle Bay Island,Marsh Island,Tricolored Heron,50
2021,Eagle Bay Island,Marsh Island,Glossy Ibis,137
2021,Eagle Bay Island,Marsh Island,White Ibis,137
2021,Eagle Bay Island,Marsh Island,Snowy Egret,206
2021,Eagle Bay Island,Marsh Island,Cattle Egret,343
2021,Gator Farm,Off-Lake Island,Tricolored Heron,3
2021,Gator Farm,Off-Lake Island,Snowy Egret,4
2021,Gator Farm,Off-Lake Island,Roseate Spoonbill,16
2021,Gator Farm,Off-Lake Island,White Ibis,25
2021,Gator Farm,Off-Lake Island,Wood Stork,25
2021,Gator Farm,Off-Lake Island,Great Egret,175
2021,Gun Range,Off-Lake Island,Great Egret,40
2021,Lakeport Marina,Off-Lake Island,Tricolored Heron,9
2021,Lakeport Marina,Off-Lake Island,Snowy Egret,19
2021,Lakeport Marina,Off-Lake Island,Great Egret,187
2021,Lakeport Marina,Off-Lake Island,Cattle Egret,277
2021,Little Bear Beach,Spoil Island,Little Blue Heron,3
2021,Little Bear Beach,Spoil Island,Great Blue Heron,5
2021,Little Bear Beach,Spoil Island,Tricolored Heron,56
2021,Little Bear Beach,Spoil Island,Great Egret,115
2021,Little Bear Beach,Spoil Island,Snowy Egret,120
2021,Moonshine Bay,Marsh Island,Tricolored Heron,14
2021,Moonshine Bay,Marsh Island,Great Egret,15
2021,Moonshine Bay,Marsh Island,Glossy Ibis,71
2021,Moonshine Bay,Marsh Island,Snowy Egret,101
2021,Moonshine Bay,Marsh Island,White Ibis,998
2021,Moorehaven East 4,Marsh Island,Great Blue Heron,4
2021,Moorehaven East 4,Marsh Island,Snowy Egret,5
2021,Moorehaven East 4,Marsh Island,Great Egret,56
2021,Pahokee,Spoil Island,Cattle Egret,26
2021,Pahokee,Spoil Island,Tricolored Heron,100
2021,Pahokee,Spoil Island,White Ibis,127
2021,Pahokee,Spoil Island,Snowy Egret,298
2020,Bird Island,Spoil Island,Great Blue Heron,3
2020,Bird Island,Spoil Island,Snowy Egret,12
2020,Bird Island,Spoil Island,Tricolored Heron,21
2020,Clewiston Spit,Spoil Island,White Ibis,2
2020,Clewiston Spit,Spoil Island,Great Blue Heron,4
2020,Clewiston Spit,Spoil Island,Great Egret,98
2020,Clewiston Spit,Spoil Island,Tricolored Heron,105
2020,Clewiston Spit,Spoil Island,Snowy Egret,370
2020,Eagle Bay Island,Marsh Island,Anhinga,1
2020,Eagle Bay Island,Marsh Island,Tricolored Heron,5
2020,Eagle Bay Island,Marsh Island,Glossy Ibis,10
2020,Eagle Bay Island,Marsh Island,Snowy Egret,142
2020,Eagle Bay Island,Marsh Island,Cattle Egret,263
2020,Eagle Bay Island,Marsh Island,White Ibis,387
2020,Gator Farm,Off-Lake Island,Great Blue Heron,1
2020,Gator Farm,Off-Lake Island,Tricolored Heron,1
2020,Gator Farm,Off-Lake Island,Glossy Ibis,8
2020,Gator Farm,Off-Lake Island,Anhinga,12
2020,Gator Farm,Off-Lake Island,Little Blue Heron,26
2020,Gator Farm,Off-Lake Island,Snowy Egret,30
2020,Gator Farm,Off-Lake Island,Roseate Spoonbill,51
2020,Gator Farm,Off-Lake Island,Wood Stork,52
2020,Gator Farm,Off-Lake Island,Cattle Egret,132
2020,Gator Farm,Off-Lake Island,Great Egret,179
2020,Lakeport Marina,Off-Lake Island,Anhinga,3
2020,Lakeport Marina,Off-Lake Island,Little Blue Heron,3
2020,Lakeport Marina,Off-Lake Island,Tricolored Heron,19
2020,Lakeport Marina,Off-Lake Island,Great Egret,22
