Database ID,Date,Observers,Survey Type,Start Time,End Time,Survey Notes,Method,Sky Code,Counts by,Waypoint Number,Latitude,Longitude,Colony Name,Photo Numbers,Colony Notes,Species Code,Nest Count,Adult Count,Fledling Count
6,3/26/2025,"A. Fussell, B. Mason",Aerial,8:42,11:15,28k acres burned in Moore Haven,Aerial Count,0,A. Fussell,11,27.101287,80.51206,Eagle Bay Island,2203-2216,,ROSP,,1,
6,3/26/2025,"A. Fussell, B. Mason",Aerial,8:42,11:15,28k acres burned in Moore Haven,Aerial Count,0,B. Mason,27,26.72083,80.83886,Little Bear Beach,,,GREG,10,,
6,3/26/2025,"A. Fussell, B. Mason",Aerial,8:42,11:15,28k acres burned in Moore Haven,Aerial Count,0,B. Mason,27,26.72083,80.83886,Little Bear Beach,,,WHIB,,35,
6,3/26/2025,"A. Fussell, B. Mason",Aerial,8:42,11:15,28k acres burned in Moore Haven,Aerial Count,0,B. Mason,27,26.72083,80.83886,Little Bear Beach,,,SMWT,,26,
6,3/26/2025,"A. Fussell, B. Mason",Aerial,8:42,11:15,28k acres burned in Moore Haven,Aerial Count,0,B. Mason,28,26.78419,80.70397,Pahokee,,,GREG,18,,
6,3/26/2025,"A. Fussell, B. Mason",Aerial,8:42,11:15,28k acres burned in Moore Haven,Aerial Count,0,B. Mason,29,26.76954,80.90429,Clewiston Marsh,,,GREG,38,,
6,3/26/2025,"A. Fussell, B. Mason",Aerial,8:42,11:15,28k acres burned in Moore Haven,Aerial Count,0,B. Mason,29,26.76954,80.90429,Clewiston Marsh,,,ROSP,2,,
6,3/26/2025,"A. Fussell, B. Mason",Aerial,8:42,11:15,28k acres burned in Moore Haven,Aerial Count,0,B. Mason,30,26.77633,80.90997,Clewiston Spit,,,GREG,18,,
6,3/26/2025,"A. Fussell, B. Mason",Aerial,8:42,11:15,28k acres burned in Moore Haven,Aerial Count,0,B. Mason,30,26.77633,80.90997,Clewiston Spit,,,WHIB,,22,
6,3/26/2025,"A. Fussell, B. Mason",Aerial,8:42,11:15,28k acres burned in Moore Haven,Aerial Count,0,B. Mason,31,26.88834,81.13204,Gun Range,,,GREG,5,,
6,3/26/2025,"A. Fussell, B. Mason",Aerial,8:42,11:15,28k acres burned in Moore Haven,Aerial Count,0,B. Mason,32,26.89007,80.9657,Moore Haven East 5,,may just be foraging birds and not nesting birds; check photos closely,GREG,8,,
6,3/26/2025,"A. Fussell, B. Mason",Aerial,8:42,11:15,28k acres burned in Moore Haven,Aerial Count,0,B. Mason,32,26.89007,80.9657,Moore Haven East 5,,,SMWT,,45,
6,3/26/2025,"A. Fussell, B. Mason",Aerial,8:42,11:15,28k acres burned in Moore Haven,Aerial Count,0,B. Mason,33,26.96452,81.04155,Rock Islands,,colony is spread out over 3 islands,GREG,28,,
6,3/26/2025,"A. Fussell, B. Mason",Aerial,8:42,11:15,28k acres burned in Moore Haven,Aerial Count,0,B. Mason,33,26.96452,81.04155,Rock Islands,,colony is spread out over 3 islands,ROSP,2,,
